Rt,date
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.9998,2021-11-12
1.999709791782041,2021-11-13
1.999709791782041,2021-11-13
1.999709791782041,2021-11-13
1.999709791782041,2021-11-13
1.999709791782041,2021-11-13
1.999709791782041,2021-11-13
1.999709791782041,2021-11-13
1.999709791782041,2021-11-13
1.999709791782041,2021-11-13
1.999709791782041,2021-11-13
1.999709791782041,2021-11-13
1.999709791782041,2021-11-13
1.999709791782041,2021-11-13
1.999709791782041,2021-11-13
1.999709791782041,2021-11-13
1.999709791782041,2021-11-13
1.999709791782041,2021-11-13
1.999709791782041,2021-11-13
1.999709791782041,2021-11-13
1.999709791782041,2021-11-13
1.999709791782041,2021-11-13
1.999709791782041,2021-11-13
1.999709791782041,2021-11-13
1.999709791782041,2021-11-13
1.999709791782041,2021-11-13
1.999709791782041,2021-11-13
1.999709791782041,2021-11-13
1.999709791782041,2021-11-13
1.999709791782041,2021-11-13
1.999709791782041,2021-11-13
1.999709791782041,2021-11-13
1.999709791782041,2021-11-13
1.999709791782041,2021-11-13
1.999709791782041,2021-11-13
1.999709791782041,2021-11-13
1.999709791782041,2021-11-13
1.999709791782041,2021-11-13
1.999709791782041,2021-11-13
1.999709791782041,2021-11-13
1.999709791782041,2021-11-13
1.999709791782041,2021-11-13
1.999709791782041,2021-11-13
1.999709791782041,2021-11-13
1.999709791782041,2021-11-13
1.999709791782041,2021-11-13
1.999709791782041,2021-11-13
1.999709791782041,2021-11-13
1.999709791782041,2021-11-13
1.999709791782041,2021-11-13
1.999709791782041,2021-11-13
1.999709791782041,2021-11-13
1.999709791782041,2021-11-13
1.999709791782041,2021-11-13
1.999709791782041,2021-11-13
1.999709791782041,2021-11-13
1.999709791782041,2021-11-13
1.999709791782041,2021-11-13
1.999709791782041,2021-11-13
1.999709791782041,2021-11-13
1.999709791782041,2021-11-13
1.999709791782041,2021-11-13
1.999709791782041,2021-11-13
1.999709791782041,2021-11-13
1.999709791782041,2021-11-13
1.999709791782041,2021-11-13
1.999709791782041,2021-11-13
1.999709791782041,2021-11-13
1.999709791782041,2021-11-13
1.999709791782041,2021-11-13
1.999709791782041,2021-11-13
1.999709791782041,2021-11-13
1.999709791782041,2021-11-13
1.999709791782041,2021-11-13
1.999709791782041,2021-11-13
1.999709791782041,2021-11-13
1.999709791782041,2021-11-13
1.999709791782041,2021-11-13
1.999709791782041,2021-11-13
1.999709791782041,2021-11-13
1.999709791782041,2021-11-13
1.999709791782041,2021-11-13
1.999709791782041,2021-11-13
1.999709791782041,2021-11-13
1.999709791782041,2021-11-13
1.999709791782041,2021-11-13
1.999709791782041,2021-11-13
1.999709791782041,2021-11-13
1.999709791782041,2021-11-13
1.999709791782041,2021-11-13
1.999709791782041,2021-11-13
1.999709791782041,2021-11-13
1.999709791782041,2021-11-13
1.999709791782041,2021-11-13
1.999709791782041,2021-11-13
1.999709791782041,2021-11-13
1.999709791782041,2021-11-13
1.999709791782041,2021-11-13
1.999709791782041,2021-11-13
1.999709791782041,2021-11-13
1.999709791782041,2021-11-13
1.9996308491022616,2021-11-14
1.9996308491022616,2021-11-14
1.9996308491022616,2021-11-14
1.9996308491022616,2021-11-14
1.9996308491022616,2021-11-14
1.9996308491022616,2021-11-14
1.9996308491022616,2021-11-14
1.9996308491022616,2021-11-14
1.9996308491022616,2021-11-14
1.9996308491022616,2021-11-14
1.9996308491022616,2021-11-14
1.9996308491022616,2021-11-14
1.9996308491022616,2021-11-14
1.9996308491022616,2021-11-14
1.9996308491022616,2021-11-14
1.9996308491022616,2021-11-14
1.9996308491022616,2021-11-14
1.9996308491022616,2021-11-14
1.9996308491022616,2021-11-14
1.9996308491022616,2021-11-14
1.9996308491022616,2021-11-14
1.9996308491022616,2021-11-14
1.9996308491022616,2021-11-14
1.9996308491022616,2021-11-14
1.9996308491022616,2021-11-14
1.9996308491022616,2021-11-14
1.9996308491022616,2021-11-14
1.9996308491022616,2021-11-14
1.9996308491022616,2021-11-14
1.9996308491022616,2021-11-14
1.9996308491022616,2021-11-14
1.9996308491022616,2021-11-14
1.9996308491022616,2021-11-14
1.9996308491022616,2021-11-14
1.9996308491022616,2021-11-14
1.9996308491022616,2021-11-14
1.9996308491022616,2021-11-14
1.9996308491022616,2021-11-14
1.9996308491022616,2021-11-14
1.9996308491022616,2021-11-14
1.9996308491022616,2021-11-14
1.9996308491022616,2021-11-14
1.9996308491022616,2021-11-14
1.9996308491022616,2021-11-14
1.9996308491022616,2021-11-14
1.9996308491022616,2021-11-14
1.9996308491022616,2021-11-14
1.9996308491022616,2021-11-14
1.9996308491022616,2021-11-14
1.9996308491022616,2021-11-14
1.9996308491022616,2021-11-14
1.9996308491022616,2021-11-14
1.9996308491022616,2021-11-14
1.9996308491022616,2021-11-14
1.9996308491022616,2021-11-14
1.9996308491022616,2021-11-14
1.9996308491022616,2021-11-14
1.9996308491022616,2021-11-14
1.9996308491022616,2021-11-14
1.9996308491022616,2021-11-14
1.9996308491022616,2021-11-14
1.9996308491022616,2021-11-14
1.9996308491022616,2021-11-14
1.9996308491022616,2021-11-14
1.9996308491022616,2021-11-14
1.9996308491022616,2021-11-14
1.9996308491022616,2021-11-14
1.9996308491022616,2021-11-14
1.9996308491022616,2021-11-14
1.9996308491022616,2021-11-14
1.9996308491022616,2021-11-14
1.9996308491022616,2021-11-14
1.9996308491022616,2021-11-14
1.9996308491022616,2021-11-14
1.9996308491022616,2021-11-14
1.9996308491022616,2021-11-14
1.9996308491022616,2021-11-14
1.9996308491022616,2021-11-14
1.9996308491022616,2021-11-14
1.9996308491022616,2021-11-14
1.9996308491022616,2021-11-14
1.9996308491022616,2021-11-14
1.9996308491022616,2021-11-14
1.9996308491022616,2021-11-14
1.9996308491022616,2021-11-14
1.9996308491022616,2021-11-14
1.9996308491022616,2021-11-14
1.9996308491022616,2021-11-14
1.9996308491022616,2021-11-14
1.9996308491022616,2021-11-14
1.9996308491022616,2021-11-14
1.9996308491022616,2021-11-14
1.9996308491022616,2021-11-14
1.9996308491022616,2021-11-14
1.9996308491022616,2021-11-14
1.9996308491022616,2021-11-14
1.9996308491022616,2021-11-14
1.9996308491022616,2021-11-14
1.9996308491022616,2021-11-14
1.9996308491022616,2021-11-14
1.9995548382667092,2021-11-15
1.9995548382667092,2021-11-15
1.9995548382667092,2021-11-15
1.9995548382667092,2021-11-15
1.9995548382667092,2021-11-15
1.9995548382667092,2021-11-15
1.9995548382667092,2021-11-15
1.9995548382667092,2021-11-15
1.9995548382667092,2021-11-15
