collection_date,Mean,Median,Variance,Kurtosis,Skewness,Rt
2021-11-12,38.89461921870119,40.0,3.694166426553623,2.7057600862100704,-1.8380959223902256,1.9998
2021-11-13,38.930042279666836,40.0,3.6406314907318182,3.2121095726744904,-1.9411060936738582,1.999709791782041
2021-11-14,38.92039832564898,40.0,3.61804212862004,2.859484696925469,-1.88038912386686,1.9996308491022616
2021-11-15,38.88864451855259,40.0,3.7466051349565075,2.779152151625778,-1.8488599385625746,1.9995548382667088
2021-11-16,38.88918888476911,40.0,3.6525928849467997,2.574214569819072,-1.811938502680815,1.9994768506541103
2021-11-17,38.878763292688326,40.0,3.78090553356391,2.610803500964115,-1.8247032095699915,1.9993938117891008
2021-11-18,38.909429180204334,40.0,3.5809356696240218,2.7328572476449824,-1.8439255820335843,1.999303608146332
2021-11-19,38.90224645882929,40.0,3.7002300024750947,4.331704083221078,-1.9765196398480256,1.9992046046977503
2021-11-20,38.865889299013475,40.0,3.8332935633978313,2.5456734983155234,-1.810292000855464,1.9990953760348145
2021-11-21,38.897620084770175,40.0,3.693596361510719,2.916237295884319,-1.8711039701375276,1.998974553764132
2021-11-22,38.92416889081391,40.0,3.704772094503451,3.2986138030015124,-1.9521098797573588,1.998840736788664
2021-11-23,38.906495829896194,40.0,3.6980727779436076,3.600934467195739,-1.9365684105512735,1.998692435425765
2021-11-24,38.8873481951076,40.0,3.848576458031315,6.524918258278332,-2.1320472118018508,1.998528033200368
2021-11-25,38.891164932982335,40.0,3.8227632965022402,4.6201366112218345,-2.0135600034815027,1.9983457575043777
2021-11-26,38.90415432995033,40.0,3.6215630909270917,3.1844022757087953,-1.8965765369782295,1.998143654582825
2021-11-27,38.855599206028,40.0,3.9662300688643737,5.973706549692327,-2.0918373548027205,1.9979195649199608
2021-11-28,38.89825463749493,40.0,3.8660853946205003,5.871505460675872,-2.1090103210494453,1.9976710991460824
2021-11-29,38.89376453497217,40.0,3.8432368690870073,4.378132423589621,-2.022828102888952,1.9973956121151029
2021-11-30,38.89958992847658,40.0,3.74781432169681,4.336727851428847,-2.003655557079584,1.997090174580832
2021-12-01,38.89252907951774,40.0,3.7873218698380473,4.199289594843153,-1.9803134896097432,1.9967515430082308
2021-12-02,38.91475950327829,40.0,3.710263002796368,5.911652800304251,-2.0962423877031626,1.9963761263749515
2021-12-03,38.913975331745185,40.0,3.685350347099344,2.8971873780286015,-1.880250098261385,1.9959599484495592
2021-12-04,38.94972118390729,40.0,3.6589944084679,5.930644871253886,-2.1764210139796294,1.9954986077726653
2021-12-05,38.878546991267505,40.0,3.8607131385450915,6.307511383766668,-2.1139431411086793,1.9949872340780408
2021-12-06,38.90633254476243,40.0,3.642286088779663,2.860362141729756,-1.8701873901768769,1.9944204386152404
2021-12-07,38.89595254337157,40.0,3.8432730048556305,5.33072667924359,-2.0921473225247382,1.993792260828272
2021-12-08,38.8481048614166,40.0,4.078260027213707,6.676572382344144,-2.1658017829858762,1.9930961096812707
2021-12-09,38.87938650564934,40.0,4.042238294647382,9.862835220219857,-2.4107280424414084,1.992324699320416
2021-12-10,38.9048619400196,40.0,3.8676561915561187,3.8099261235756443,-2.0049429923693656,1.991469978831556
2021-12-11,38.85084553597107,40.0,4.169980178646407,7.653407036974647,-2.268776209015821,1.9905230555335376
2021-12-12,38.88585923660147,40.0,4.078318996016051,9.91077705553945,-2.484811410721467,1.9894741113937564
2021-12-13,38.871447047374645,40.0,4.2233035005905855,11.278087815634171,-2.5675447072142923,1.988312312233936
2021-12-14,38.86154802235465,40.0,4.113233371275161,8.3957891339816,-2.2922690844093045,1.9870257092586103
2021-12-15,38.82899694124923,40.0,4.340951498511519,9.214075270439517,-2.4155825263815416,1.9856011325634344
2021-12-16,38.85606423020217,40.0,4.2412929208664405,8.377820306981143,-2.3961676273231856,1.9840240764182355
