collection_date,Mean,Median,Variance,Kurtosis,Skewness,Rt
2021-11-12,38.86619893978952,40.0,3.9301357441087053,3.2372501685687074,-1.9141304976654916,1.9998
2021-11-13,38.83048524676625,40.0,4.04655720673069,2.9073736482717947,-1.8559460270002996,1.999709791782041
2021-11-14,38.94265472121988,40.0,3.4400987988674636,2.941001263555299,-1.8891991609921133,1.9996308491022616
2021-11-15,39.07646594575366,40.0,2.9742952091782007,3.6977912244987734,-2.0524719185000393,1.9995548382667088
2021-11-16,38.8591782230118,40.0,3.894338090024292,2.401700586917442,-1.768382744092637,1.9994768506541103
2021-11-17,38.80812854012626,40.0,4.063271604641444,2.5329637366136235,-1.7897886574926567,1.9993938117891008
2021-11-18,38.965903869403014,40.0,3.4803270550035754,3.2194059191586804,-1.942284539755117,1.999303608146332
2021-11-19,38.90404702997297,40.0,3.625048490129241,2.4292337934332227,-1.8101168059171087,1.9992046046977503
2021-11-20,38.92903286505538,40.0,3.8486283032820663,3.1868435044210135,-1.961466249131974,1.9990953760348145
2021-11-21,38.89797011052555,40.0,3.735030135634967,3.013143536825447,-1.8841414220446115,1.998974553764132
2021-11-22,38.87744476304617,40.0,3.6545899778531914,2.4770984059841408,-1.7680882495745613,1.998840736788664
2021-11-23,38.92945449699418,40.0,3.7402017684658,4.113018534930973,-2.0582698723522674,1.998692435425765
2021-11-24,39.00519390168218,40.0,3.4476215179834533,4.144757913078767,-2.1004165240908454,1.998528033200368
2021-11-25,38.9305059310735,40.0,3.5697560432154996,3.222311648262314,-1.936472006046799,1.9983457575043777
2021-11-26,38.95824342090635,40.0,3.5495728496776127,3.095075757768473,-1.951210537506626,1.998143654582825
2021-11-27,38.93003867044414,40.0,3.6126783228626467,2.9553986332378943,-1.8847336909955092,1.9979195649199608
2021-11-28,38.86440972901369,40.0,3.9508158375154814,6.711282018086708,-2.2031496056123516,1.9976710991460824
2021-11-29,38.87630678625373,40.0,3.678870598382238,2.699125378002672,-1.8084368968485787,1.9973956121151029
2021-11-30,38.82943992309364,40.0,3.8239374807002084,2.318276307390876,-1.7513943797675477,1.997090174580832
2021-12-01,38.887323367626585,40.0,3.6575352360725866,3.3208808765335873,-1.9088697578924363,1.9967515430082308
2021-12-02,38.886946820458355,40.0,3.831869175773343,3.0696438373453767,-1.8926376797322697,1.9963761263749515
2021-12-03,38.98584883081755,40.0,3.2971155302345805,2.930119855217281,-1.8921493765926791,1.9959599484495592
2021-12-04,38.87240811722074,40.0,3.7190892598632437,2.300691313018475,-1.7339721161258472,1.9954986077726653
2021-12-05,38.91880562322495,40.0,3.684562995212115,2.8577397344734448,-1.8798330063074098,1.9949872340780408
2021-12-06,38.943492757148036,40.0,3.6293062925855963,3.1344725861003018,-1.9396520894786733,1.9944204386152404
2021-12-07,38.893781558347136,40.0,3.832944773667344,2.673085821042408,-1.8516339762052574,1.993792260828272
2021-12-08,38.8629653041755,40.0,3.92901563923487,7.6056268815824755,-2.248165325322111,1.9930961096812707
2021-12-09,38.763284843857,40.0,4.3581222777408835,5.224259812911381,-2.0196044232352826,1.992324699320416
2021-12-10,38.853100725922225,40.0,3.9285146162858204,3.724263146088877,-1.9710629146990772,1.991469978831556
2021-12-11,38.95867261896066,40.0,3.6311070239722585,4.203071165745232,-2.0806663043887745,1.9905230555335376
